,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,dominant_topic
Doc13139,0.0,0.0,0.23,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2
Doc13140,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.38,0.01,0.01,0.13,0.01,0.13,0.13,0.01,0.01,16
Doc13141,0.0,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.17,0.0,0.09,22
Doc13142,0.0,0.0,0.0,0.0,0.19,0.09,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,4
Doc13143,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,22
Doc13144,0.0,0.0,0.0,0.06,0.32,0.07,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.0,0.06,4
Doc13145,0.0,0.0,0.0,0.0,0.28,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4
Doc13146,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.12,0.0,0.12,17
Doc13147,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.13,0.12,0.1,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2
Doc13148,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
Doc13149,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.25,0.13,0.13,0.13,0.01,0.13,0.01,0.01,0.01,16
Doc13150,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,15
Doc13151,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.23,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,16
Doc13152,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,4
Doc13153,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.12,0.0,0.0,0.23,0.0,0.0,0.12,0.0,0.0,0.12,0.0,12
Doc13154,0.0,0.08,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,12
Doc13155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.09,0.0,0.25,0.0,0.0,0.0,0.09,0.0,0.0,0.0,12
Doc13156,0.01,0.15,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.15,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,2
Doc13157,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.13,0.01,0.38,0.01,0.13,0.01,0.13,0.01,0.01,0.01,17
Doc13158,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.15,0.01,0.01,0.29,0.01,0.01,0.15,0.01,0.01,19
Doc13159,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.01,0.26,0.13,23
Doc13160,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,9
Doc13161,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,12
Doc13162,0.01,0.01,0.01,0.01,0.01,0.17,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.17,0.17,0.01,0.01,5
Doc13163,0.01,0.01,0.01,0.01,0.43,0.15,0.01,0.15,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc13164,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.15,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.15,0.01,0.01,0.01,6
Doc13165,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Doc13166,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.17,22
Doc13167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.21,0.16,0.09,0.0,0.19,0.09,0.0,0.0,0.0,16
Doc13168,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc13169,0.15,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,13
Doc13170,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.21,0.0,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,13
Doc13171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,12
Doc13172,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,15
Doc13173,0.12,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Doc13174,0.09,0.0,0.17,0.0,0.14,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2
